code_région,chef_lieu_région,latitude,longitude
94,Ajaccio,41.916667,8.733333
93,Marseille,43.3,5.4
93,Marseille,43.3,5.4
93,Marseille,43.3,5.4
93,Marseille,43.3,5.4
93,Marseille,43.3,5.4
93,Marseille,43.3,5.4
93,Marseille,43.3,5.4
93,Marseille,43.3,5.4
25,Caen,49.183333,-0.35
25,Caen,49.183333,-0.35
26,Dijon,47.316667,5.016667
26,Dijon,47.316667,5.016667
26,Dijon,47.316667,5.016667
43,Besançon,47.25,6.033333
43,Besançon,47.25,6.033333
73,Toulouse,43.6,1.433333
73,Toulouse,43.6,1.433333
73,Toulouse,43.6,1.433333
73,Toulouse,43.6,1.433333
73,Toulouse,43.6,1.433333
73,Toulouse,43.6,1.433333
72,Bordeaux,44.833333,-0.566667
72,Bordeaux,44.833333,-0.566667
72,Bordeaux,44.833333,-0.566667
91,Montpellier,43.6,3.883333
91,Montpellier,43.6,3.883333
91,Montpellier,43.6,3.883333
91,Montpellier,43.6,3.883333
53,Rennes,48.083333,-1.683333
53,Rennes,48.083333,-1.683333
53,Rennes,48.083333,-1.683333
53,Rennes,48.083333,-1.683333
52,Nantes,47.216667,-1.55
52,Nantes,47.216667,-1.55
52,Nantes,47.216667,-1.55
52,Nantes,47.216667,-1.55
52,Nantes,47.216667,-1.55
24,Orléans,47.916667,1.9
24,Orléans,47.916667,1.9
24,Orléans,47.916667,1.9
21,Châlons-en-Champagne,48.958333,4.366667
41,Metz,49.133333,6.166667
41,Metz,49.133333,6.166667
41,Metz,49.133333,6.166667
31,Lille,50.633333,3.066667
31,Lille,50.633333,3.066667
31,Lille,50.633333,3.066667
31,Lille,50.633333,3.066667
31,Lille,50.633333,3.066667
83,Clermont-Ferrand,45.783333,3.083333
83,Clermont-Ferrand,45.783333,3.083333
83,Clermont-Ferrand,45.783333,3.083333
42,Strasbourg,48.583333,7.75
42,Strasbourg,48.583333,7.75
42,Strasbourg,48.583333,7.75
82,Lyon,45.75,4.85
82,Lyon,45.75,4.85
82,Lyon,45.75,4.85
82,Lyon,45.75,4.85
11,Paris,48.866667,2.333333
11,Paris,48.866667,2.333333
11,Paris,48.866667,2.333333
11,Paris,48.866667,2.333333
11,Paris,48.866667,2.333333
11,Paris,48.866667,2.333333
11,Paris,48.866667,2.333333
11,Paris,48.866667,2.333333
11,Paris,48.866667,2.333333
11,Paris,48.866667,2.333333
11,Paris,48.866667,2.333333
11,Paris,48.866667,2.333333
11,Paris,48.866667,2.333333
11,Paris,48.866667,2.333333
11,Paris,48.866667,2.333333
11,Paris,48.866667,2.333333
11,Paris,48.866667,2.333333
11,Paris,48.866667,2.333333
11,Paris,48.866667,2.333333
11,Paris,48.866667,2.333333
11,Paris,48.866667,2.333333
23,Rouen,49.433333,1.083333
22,Amiens,49.9,2.3
22,Amiens,49.9,2.3
54,Poitiers,46.583333,0.333333
54,Poitiers,46.583333,0.333333
74,Limoges,45.85,1.25
74,Limoges,45.85,1.25
74,Limoges,45.85,1.25
1,Basse-Terre,NA,""
2,Fort-de-France,NA,""
3,Cayenne,NA,""
4,Saint-Denis,NA,""
6,Saint-Pierre,NA,""
5,Mamoudzou,NA,""
