region_name,population_region,total_number_of_companies,no_data,up_to_5_employees,up_to_9_employees,up_to_19_employees,up_to_49_employees,up_to_99_employees,up_to_199_employees,up_to_499_employees,more_than_500_employees
Île-de-France,11228106,1017461,720170,199291,40222,29039,17293,5776,3061,1868,741
Provence-Alpes-Côte d'Azur,4504456,430039,303436,91614,15493,10637,5827,1848,756,347,81
Lorraine,1456005,86474,53084,22252,4511,3343,2150,649,281,162,42
Limousin,393541,26327,15342,7285,1554,1121,682,202,92,42,7
Picardie,980176,55511,33042,14742,3116,2294,1421,500,234,137,25
Basse-Normandie,714616,48229,28247,13417,2761,1910,1219,421,149,88,17
Martinique,366755,38049,29890,5605,1303,734,350,108,39,20,0
Auvergne,758753,53041,32295,13860,2826,2097,1265,437,151,84,26
Midi-Pyrénées,1874382,144613,93122,35018,6843,5008,2949,1041,381,190,61
Nord-Pas-de-Calais,3243593,165437,105115,38993,8372,6243,4222,1373,681,344,94
Haute-Normandie,1121352,62787,37110,16603,3727,2613,1700,581,260,148,45
Poitou-Charentes,980782,72332,45116,18259,3701,2675,1689,552,204,116,20
Pays de la Loire,2778746,167434,103700,41113,8854,6713,4312,1563,728,371,80
Alsace,1288514,87128,53490,22169,4581,3576,2108,672,300,179,53
Bretagne,2395606,153984,94653,40164,7676,5918,3549,1202,533,229,60
Champagne-Ardenne,715318,43366,25586,11690,2451,1869,1100,377,185,91,17
Corse,215928,24805,16646,5927,1068,695,345,77,37,10,0
Languedoc-Roussillon,2040093,177630,123949,38232,6812,4777,2598,792,308,135,27
Guadeloupe,382777,46484,37585,6260,1354,760,376,96,39,14,0
Franche-Comté,556060,36292,21429,9967,1942,1535,902,299,138,65,15
Aquitaine,2206562,181078,118630,42986,8116,5965,3599,1098,435,197,52
La Réunion,828203,53293,38040,10661,2133,1400,740,199,86,29,5
Guyane,193732,13684,10308,2323,508,318,165,44,18,0,0
Rhône-Alpes,4722068,362446,231562,86973,17543,13305,8412,2742,1189,584,136
Centre,1574345,95036,56287,25323,5305,3937,2710,827,392,212,43
Bourgogne,815645,55962,32480,15699,3172,2282,1444,508,225,123,29
