region_name,median_salary_all_executive,median_salary_all_middle_manager,median_salary_all_employee,median_salary_all_worker,median_salary_men_executive,median_salary_men_middle_manager,median_salary_men_employee,median_salary_men_worker,median_salary_women_executive,median_salary_women_middle_manager,median_salary_women_employee,median_salary_women_worker,iqr_salary_all_executive,iqr_salary_all_middle_manager,iqr_salary_all_employee,iqr_salary_all_worker,iqr_salary_men_executive,iqr_salary_men_middle_manager,iqr_salary_men_employee,iqr_salary_men_worker,iqr_salary_women_executive,iqr_salary_women_middle_manager,iqr_salary_women_employee,iqr_salary_women_worker,diff_median_women_men_executive,diff_median_women_men_manager,diff_median_women_men_employee,diff_median_women_men_worker,percentage_of_children,mean_age
Alsace,23.95,14.60,10.50,11.50,25.50,15.45,11.30,11.80,20.20,13.10,10.30,10.00,2.20,0.80,0.57,0.70,2.97,1.00,0.90,0.80,1.70,0.97,0.68,0.70,-5.30,-2.35,-1.00,-1.80,26.21,39.59
Aquitaine,22.90,14.10,10.30,10.90,24.50,14.90,10.80,11.20,19.60,12.90,10.10,9.40,2.65,1.00,0.60,0.90,3.40,1.40,1.00,0.90,2.25,0.90,0.60,0.70,-4.90,-2.00,-0.70,-1.80,23.37,41.89
Auvergne,22.90,14.00,10.20,10.90,24.30,14.90,10.90,11.20,19.60,12.90,10.05,9.60,2.92,0.90,0.60,0.90,3.16,1.25,1.10,0.90,2.55,1.03,0.60,1.00,-4.70,-2.00,-0.85,-1.60,22.31,42.78
Basse-Normandie,22.90,14.05,10.10,10.70,24.55,14.70,10.60,10.90,19.85,13.00,9.85,9.60,3.00,1.00,0.60,0.70,3.14,1.23,1.00,0.73,2.00,0.90,0.50,1.00,-4.70,-1.70,-0.75,-1.30,23.41,42.52
Bourgogne,23.10,14.20,10.20,10.90,24.20,14.90,10.70,11.20,19.50,13.00,9.90,9.60,2.10,0.70,0.60,0.70,2.20,0.90,0.80,0.60,2.20,0.80,0.50,0.80,-4.70,-1.90,-0.80,-1.60,23.00,42.56
Bretagne,22.40,13.90,10.20,10.70,23.70,14.60,10.90,10.90,19.20,12.80,9.90,9.60,2.20,0.70,0.60,0.40,2.70,0.90,0.90,0.50,2.10,0.70,0.50,0.60,-4.50,-1.80,-1.00,-1.30,24.60,41.63
Centre,23.40,14.50,10.50,11.10,24.90,15.20,11.10,11.30,20.30,13.40,10.30,10.00,2.30,1.10,0.80,0.70,2.75,1.20,1.10,0.80,1.80,0.95,0.70,0.70,-4.60,-1.80,-0.80,-1.30,25.21,41.39
Champagne-Ardenne,23.50,14.20,10.20,10.90,24.80,15.00,10.70,11.10,19.90,12.90,9.90,9.60,2.30,1.00,0.60,0.80,2.90,1.30,1.00,0.80,1.80,0.90,0.50,1.10,-4.90,-2.10,-0.80,-1.50,24.93,40.42
Corse,22.50,15.10,10.20,10.70,23.60,16.40,10.60,10.90,19.40,13.40,10.00,9.00,3.60,2.50,0.70,0.50,4.70,3.60,0.70,0.50,1.60,1.20,0.60,0.60,-4.20,-3.00,-0.60,-1.90,24.27,41.51
Franche-Comté,23.10,14.00,10.20,10.90,24.35,14.70,10.85,11.20,19.00,12.70,9.90,9.70,1.98,1.00,0.58,0.78,2.78,1.28,1.00,0.70,1.93,1.00,0.50,0.67,-5.35,-2.00,-0.95,-1.50,24.38,40.83
Guadeloupe,24.15,15.30,11.00,10.80,26.30,16.05,11.40,11.00,21.75,14.60,10.80,9.10,2.68,1.28,0.57,0.67,3.08,1.61,0.64,0.70,2.07,1.25,0.57,0.45,-4.55,-1.45,-0.60,-1.90,30.33,39.31
Guyane,24.90,16.40,11.35,11.00,26.05,17.30,11.60,11.15,22.70,14.95,10.95,9.05,1.35,1.80,0.90,0.86,2.89,2.47,1.42,1.01,3.82,0.87,0.90,0.91,-3.35,-2.35,-0.65,-2.10,42.71,28.75
Haute-Normandie,23.60,14.90,10.40,11.40,25.20,15.80,11.00,11.60,20.50,13.40,10.20,9.90,3.50,1.30,0.70,1.10,4.00,1.60,1.20,1.10,2.50,1.10,0.60,0.90,-4.70,-2.40,-0.80,-1.70,26.40,40.04
Île-de-France,25.50,15.80,11.90,12.40,27.00,16.60,12.20,12.65,22.30,14.90,11.70,10.60,4.30,1.20,1.20,1.30,5.03,1.50,1.60,1.30,3.00,1.10,1.00,1.53,-4.70,-1.70,-0.50,-2.05,28.89,37.62
La Réunion,23.50,14.70,10.30,10.50,25.70,15.20,10.50,10.70,21.30,14.00,10.10,8.90,3.10,0.85,0.60,0.40,3.35,0.55,0.80,0.45,2.40,1.55,0.50,0.70,-4.40,-1.20,-0.40,-1.80,34.71,34.83
Languedoc-Roussillon,22.30,14.10,10.10,10.60,23.60,14.80,10.70,10.70,19.30,12.90,9.80,9.30,2.35,1.00,0.60,0.60,3.10,1.40,0.90,0.70,2.10,0.90,0.60,0.70,-4.30,-1.90,-0.90,-1.40,24.57,41.95
Limousin,22.60,13.90,10.10,10.80,24.10,14.60,10.60,11.00,19.50,13.10,9.90,9.70,2.15,0.75,0.80,0.75,2.30,1.15,0.95,0.70,2.40,0.65,0.60,0.95,-4.60,-1.50,-0.70,-1.30,21.86,43.27
Lorraine,22.85,14.25,10.10,11.05,24.10,15.20,10.80,11.40,19.60,12.70,9.80,9.40,2.90,0.92,0.50,0.80,3.30,1.30,0.82,0.80,2.63,1.02,0.50,0.72,-4.50,-2.50,-1.00,-2.00,24.77,41.05
Martinique,25.70,15.40,10.80,10.90,28.20,16.00,11.00,11.10,22.30,14.50,10.70,9.30,4.00,1.25,0.60,0.40,4.45,1.20,0.80,0.50,2.15,1.35,0.55,0.45,-5.90,-1.50,-0.30,-1.80,27.70,41.26
Midi-Pyrénées,22.90,14.20,10.20,10.90,24.00,14.90,10.90,11.10,19.90,12.90,10.00,9.60,2.30,1.10,0.70,1.00,2.65,1.30,1.20,0.97,2.58,1.00,0.70,0.97,-4.10,-2.00,-0.90,-1.50,23.74,40.64
Nord-Pas-de-Calais,22.30,14.20,10.20,11.00,23.50,14.90,10.90,11.20,19.30,12.80,9.90,9.40,2.70,1.10,0.70,0.70,3.10,1.20,1.00,0.70,2.20,0.80,0.70,0.70,-4.20,-2.10,-1.00,-1.80,29.04,38.41
Pays de la Loire,22.40,13.80,10.20,10.80,23.55,14.60,11.10,11.10,19.10,12.65,10.00,9.60,2.20,0.90,0.60,0.70,2.80,1.10,1.00,0.70,2.30,0.90,0.60,0.60,-4.45,-1.95,-1.10,-1.50,26.27,40.34
Picardie,23.00,14.50,10.40,11.40,24.30,15.35,11.00,11.60,19.90,13.20,10.20,9.80,2.47,1.30,0.90,1.07,2.78,1.40,1.30,1.00,2.30,1.27,0.90,1.20,-4.40,-2.15,-0.80,-1.80,27.66,39.13
Poitou-Charentes,22.90,14.00,10.20,10.60,24.40,14.80,10.70,10.80,19.40,12.90,10.00,9.50,2.62,1.03,0.70,0.80,3.10,1.10,0.92,0.73,2.52,0.92,0.60,0.90,-5.00,-1.90,-0.70,-1.30,22.11,43.42
Provence-Alpes-Côte d'Azur,23.80,14.60,10.50,11.20,25.40,15.60,11.20,11.40,20.40,13.30,10.20,9.60,3.00,1.00,0.70,0.90,3.50,1.30,1.00,1.00,2.60,1.00,0.60,0.90,-5.00,-2.30,-1.00,-1.80,25.11,42.16
Rhône-Alpes,24.00,14.70,10.80,11.50,25.30,15.70,11.60,11.70,20.40,13.30,10.50,10.00,3.00,1.20,0.80,1.00,3.80,1.50,1.45,1.00,2.30,1.10,0.80,1.00,-4.90,-2.40,-1.10,-1.70,26.84,39.40
